Name,YT Scope Project,
File,C:\Users\nrw\plcprojs\Scope\Data\MONO.csv,
Starttime of export,133409167115080000,Wednesday, October 4, 2023,11:11:51.508
Endtime of export,133409167358440000,Wednesday, October 4, 2023,11:12:15.844


Name,Axes.g_pi.PosDiff,Name,Axes.m_pi.PosDiff
SymbolComment,,SymbolComment,
Data-Type,REAL64,Data-Type,REAL64
SampleTime[ms],2,SampleTime[ms],2
VariableSize,8,VariableSize,8
SymbolBased,True,SymbolBased,True
IndexGroup,16647,IndexGroup,16646
IndexOffset,131087,IndexOffset,131087
SymbolName,Axes.g_pi.PosDiff,SymbolName,Axes.m_pi.PosDiff
NetID,172.21.140.71.1.1,NetID,172.21.140.71.1.1
Port,501,Port,501
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

0,-0.0039708257536403835,0,-0.0016899507609196007
2,-0.0014948833559174091,2,0.0005286811210680753
4,-0.00090904129319824278,4,-0.00032119898241944611
6,0.00093631964409723878,6,-0.0006842717994004488
8,0.0045055769733153284,8,0.0043097528978250921
10,0.0038349910755641758,10,0.0043447753705549985
12,0.004472248227102682,12,0.0031479776080232114
14,0.0066234570113010705,14,0.0041077069181483239
16,0.0051021834078710526,16,0.0012942790053784847
18,0.0072291639226023108,18,-3.4746364690363407E-05
20,0.0067102349421475083,20,0.0049002305895555764
22,0.0062112647574394941,22,0.0020147550676483661
24,0.00496225495589897,24,-0.00019885902293026447
26,0.0050433352880645543,26,-0.00057305366499349475
28,0.0051212971447966993,28,0.0035917694040108472
30,0.0034013886761385947,30,0.0012347903684712946
32,0.0027732715534511954,32,0.0035970821627415717
34,0.0037077743036206812,34,0.0024682565126568079
36,0.0046063346380833536,36,0.0079947786580305547
38,0.0029062324028927833,38,0.00400888969306834
40,0.0012715187331195921,40,0.0028426270000636578
42,-0.00030032134964130819,42,0.0054682972840964794
44,-0.00052965476061217487,44,0.0074457247974351048
46,-0.00049375739763490856,46,0.009652931650634855
48,0.0010792208486236632,48,0.0059258469555061311
50,0.0028481101617217064,50,0.0041757699509616941
52,0.0017284524801652879,52,0.0054516090312972665
54,-0.0011430132435634732,54,0.0045637354778591543
56,-0.0015963456826284528,56,-0.0019770586513914168
58,-0.0015194217266980559,58,-0.0042373260366730392
60,-0.00067622563801705837,60,-0.0058825691230595112
62,-0.0016603319672867656,62,-0.0073782446561381221
64,-0.00311940856045112,64,-0.010376131511293352
66,-0.0022146745177451521,66,-0.010234665009193122
68,-0.0026267892098985612,68,-0.0056010590924415737
70,-0.0017410020518582314,70,0.0014781281061004847
72,-0.0016585144039709121,72,-0.0019153380999341607
74,-0.0013227891176939011,74,-0.0037716709775850177
76,-0.00023074555792845786,76,-0.0091451554326340556
78,0.0033833989000413567,78,-0.010344232199713588
80,0.0048072557547129691,80,-0.012662938359426335
82,0.00591993861598894,82,-0.015589943970553577
84,0.0026308516098652035,84,-0.015384039987111464
86,0.0043400628201197833,86,-0.0098727636213880032
88,0.0047014838783070445,88,-0.011415239656344056
90,0.0055618246260564774,90,-0.014865217846818268
92,0.0056198445672634989,92,-0.00981065258383751
94,0.0036243509384803474,94,-0.0084919568907935172
96,0.0027312480960972607,96,-0.009750415338203311
98,-0.00017878669314086437,98,-0.014989923045504838
100,-0.00092561502242460847,100,-0.014019475493114442
102,-0.00010525764082558453,102,-0.0094513413496315479
104,-0.003675426822155714,104,-0.0073462194122839719
106,-0.0019800766895059496,106,-0.0087088358122855425
108,0.0014449394657276571,108,-0.0050330325611867011
110,0.0024305319238919765,110,-0.00046275687054730952
112,0.0026089862221851945,112,6.13013980910182E-06
114,0.0032933973998297006,114,-0.0036630635149776936
116,0.0024130235251504928,116,-0.0045414213673211634
